56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.48,-57.12
56.77,-58.79,56.95,57.91,-57.39,-57.12
56.77,-58.79,56.95,57.39,-57.04,-57.12
56.77,-58.62,56.51,56.42,-56.25,-57.12
56.68,-58.18,55.81,55.45,-55.54,-57.04
56.42,-57.12,54.58,53.78,-54.22,-56.68
55.81,-56.16,53.52,52.11,-53.08,-56.33
54.49,-53.26,50.71,48.16,-50.09,-55.1
53.78,-51.5,49.04,45.79,-48.33,-54.49
52.38,-48.51,46.58,42.01,-45.61,-53.43
50.71,-45.26,43.85,37.96,-42.62,-52.38
48.6,-41.57,40.42,33.04,-38.93,-50.8
47.1,-38.93,38.14,29.7,-36.29,-49.83
44.47,-34.71,34.54,24.25,-32.43,-48.33
41.74,-30.14,30.93,18.72,-28.38,-46.84
39.99,-27.07,28.38,14.85,-25.57,-45.79
36.12,-20.56,22.93,6.59,-19.42,-43.59
34.27,-17.31,20.3,2.63,-16.61,-42.45
31.37,-12.3,16.34,-3.42,-12.21,-40.78
28.56,-7.47,12.65,-9.31,-7.82,-39.19
26.63,-4.21,10.1,-13.18,-5.09,-38.23
23.99,0.61,6.41,-19.16,-1.05,-36.73
21.26,5.27,2.81,-24.78,2.98,-35.24
18.8,9.66,-0.52,-29.97,6.59,-33.92
16.61,13.53,-3.16,-34.62,9.58,-32.95
14.67,17.22,-5.8,-39.02,12.56,-31.72
13.44,19.33,-7.11,-41.39,14.41,-31.28
